system	model	iptm	has_clash	intended_pairs	expected_ss_bonds	observed_ss_bonds	chain_component	full_ss_ring	native_c74_c121_bonds	unexpected_ss_bonds	chemically_clean_ring	interchain_ss_bonds	no_interchain_ss	noncovalent_chemically_clean	median_ss_distance_a	bonds_json	unexpected_bonds_json	cif_path
ova_body_c4_04	seed-1_sample-1	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s3/ova_body_c4_04/seed-1_sample-1/ova_body_c4_04_seed-1_sample-1_model.cif
ova_body_c4_04	seed-1_sample-2	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s3/ova_body_c4_04/seed-1_sample-2/ova_body_c4_04_seed-1_sample-2_model.cif
ova_body_c4_04	seed-1_sample-3	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s3/ova_body_c4_04/seed-1_sample-3/ova_body_c4_04_seed-1_sample-3_model.cif
ova_body_c4_04	seed-1_sample-4	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s3/ova_body_c4_04/seed-1_sample-4/ova_body_c4_04_seed-1_sample-4_model.cif
ova_body_c4_05	seed-1_sample-0	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s4/ova_body_c4_05/seed-1_sample-0/ova_body_c4_05_seed-1_sample-0_model.cif
ova_body_c4_05	seed-1_sample-1	0.2	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s4/ova_body_c4_05/seed-1_sample-1/ova_body_c4_05_seed-1_sample-1_model.cif
ova_body_c4_05	seed-1_sample-2	0.18	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s4/ova_body_c4_05/seed-1_sample-2/ova_body_c4_05_seed-1_sample-2_model.cif
ova_body_c4_05	seed-1_sample-3	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s4/ova_body_c4_05/seed-1_sample-3/ova_body_c4_05_seed-1_sample-3_model.cif
ova_body_c4_05	seed-1_sample-4	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s4/ova_body_c4_05/seed-1_sample-4/ova_body_c4_05_seed-1_sample-4_model.cif
ova_body_c4_06	seed-1_sample-0	0.17	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s5/ova_body_c4_06/seed-1_sample-0/ova_body_c4_06_seed-1_sample-0_model.cif
ova_body_c4_06	seed-1_sample-1	0.18	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s5/ova_body_c4_06/seed-1_sample-1/ova_body_c4_06_seed-1_sample-1_model.cif
ova_body_c4_06	seed-1_sample-2	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s5/ova_body_c4_06/seed-1_sample-2/ova_body_c4_06_seed-1_sample-2_model.cif
ova_body_c4_06	seed-1_sample-3	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s5/ova_body_c4_06/seed-1_sample-3/ova_body_c4_06_seed-1_sample-3_model.cif
ova_body_c4_06	seed-1_sample-4	0.2	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s5/ova_body_c4_06/seed-1_sample-4/ova_body_c4_06_seed-1_sample-4_model.cif
ova_body_c4_07	seed-1_sample-0	0.17	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s6/ova_body_c4_07/seed-1_sample-0/ova_body_c4_07_seed-1_sample-0_model.cif
ova_body_c4_07	seed-1_sample-1	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s6/ova_body_c4_07/seed-1_sample-1/ova_body_c4_07_seed-1_sample-1_model.cif
ova_body_c4_07	seed-1_sample-2	0.2	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s6/ova_body_c4_07/seed-1_sample-2/ova_body_c4_07_seed-1_sample-2_model.cif
ova_body_c4_07	seed-1_sample-3	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s6/ova_body_c4_07/seed-1_sample-3/ova_body_c4_07_seed-1_sample-3_model.cif
ova_body_c4_07	seed-1_sample-4	0.21	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s6/ova_body_c4_07/seed-1_sample-4/ova_body_c4_07_seed-1_sample-4_model.cif
ova_body_c4_08	seed-1_sample-0	0.17	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s7/ova_body_c4_08/seed-1_sample-0/ova_body_c4_08_seed-1_sample-0_model.cif
ova_body_c4_08	seed-1_sample-1	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s7/ova_body_c4_08/seed-1_sample-1/ova_body_c4_08_seed-1_sample-1_model.cif
ova_body_c4_08	seed-1_sample-2	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s7/ova_body_c4_08/seed-1_sample-2/ova_body_c4_08_seed-1_sample-2_model.cif
ova_body_c4_08	seed-1_sample-3	0.18	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s7/ova_body_c4_08/seed-1_sample-3/ova_body_c4_08_seed-1_sample-3_model.cif
ova_body_c4_08	seed-1_sample-4	0.19	0.0		0	0	1	0	4	0	0	0	1	1	nan	[]	[]	experiments/e67_symdock38_noncovalent_af3/out_s7/ova_body_c4_08/seed-1_sample-4/ova_body_c4_08_seed-1_sample-4_model.cif
